,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-05-19,49,49,14,56,88,12,20,11.0,31,45,10,19.0,10.0,18,17,13,12,7.0,27,27,8.0,3.0,0.0,4.0,16.0
2020-05-20,53,38,9,51,85,20,21,6.0,25,39,13,11.0,6.0,17,19,17,15,8.0,20,25,2.0,4.0,1.0,15.0,13.0
2020-05-21,60,41,16,49,82,23,16,4.0,26,38,12,6.0,7.0,14,23,13,16,6.0,32,32,6.0,5.0,1.0,5.0,10.0
2020-05-22,65,48,8,61,85,16,13,5.0,22,26,11,6.0,8.0,13,27,15,17,7.0,29,29,2.0,5.0,1.0,10.0,11.0
2020-05-23,68,50,4,38,87,13,7,7.0,16,31,4,9.0,6.0,16,14,16,18,5.0,15,33,15.0,2.0,0.0,4.0,10.0
2020-05-24,50,36,8,43,66,13,18,2.0,8,30,9,4.0,4.0,12,23,12,20,4.0,23,27,9.0,5.0,3.0,7.0,7.0
2020-05-25,80,51,9,44,66,25,10,2.0,17,39,11,11.0,1.0,15,21,13,15,3.0,34,33,11.0,6.0,1.0,4.0,6.0
2020-05-26,70,43,7,57,85,25,16,6.0,32,47,9,12.0,6.0,18,21,16,18,10.0,29,36,5.0,3.0,1.0,5.0,8.0
2020-05-27,70,46,12,53,96,22,26,13.0,26,44,11,14.0,8.0,13,17,13,15,12.0,31,27,6.0,1.0,1.0,3.0,8.0
2020-05-28,68,46,13,52,98,17,17,6.0,17,40,12,12.0,9.0,19,21,9,16,8.0,33,21,1.0,7.0,0.0,8.0,11.0
2020-05-29,65,50,9,52,102,15,10,3.0,25,40,10,6.0,8.0,11,24,31,14,4.0,33,33,2.0,7.0,1.0,3.0,9.0
2020-05-30,63,81,8,73,57,23,9,3.0,12,21,6,5.0,2.0,8,14,38,22,0.0,41,16,4.0,4.0,0.0,3.0,6.0
2020-05-31,47,57,10,94,52,11,13,0.0,11,19,8,2.0,7.0,5,17,15,23,7.0,64,21,1.0,5.0,1.0,2.0,7.0
2020-06-01,65,61,12,85,68,18,14,5.0,25,27,15,8.0,2.0,15,9,21,16,10.0,31,35,2.0,3.0,0.0,2.0,8.0
2020-06-02,58,39,14,56,72,20,21,7.0,24,27,10,4.0,5.0,9,18,17,12,3.0,19,18,7.0,2.0,0.0,3.0,3.0
2020-06-03,59,41,5,60,80,14,18,8.0,16,40,10,15.0,3.0,8,27,12,12,4.0,11,30,2.0,8.0,1.0,4.0,2.0
